,0,loc,point
0,"nakrounda more, Dehradun,IN",,
1,"ranipokhri, Dehradun,IN","Rāni Pokhri, Rishikesh, Dehradun, Uttarakhand, 248143, India","(30.1836083, 78.215349, 0.0)"
2,"rispana, Dehradun,IN","Rispana Rao, Dehradun, Uttarakhand, 248001, India","(30.3397271, 78.0656686, 0.0)"
3,"doiwala, Dehradun,IN","Doiwāla, Dehradun, Uttarakhand, 248140, India","(30.176359, 78.1246442, 0.0)"
4,"great value, Dehradun,IN",,
5,"manduwala, Dehradun,IN",,
6,"sudhowala, Dehradun,IN",,
7,"dharampur, Dehradun,IN",,
8,"raja road, Dehradun,IN","Raja road, Dehradun, Uttarakhand, 248001, India","(30.317383, 78.0360796, 0.0)"
9,"sabji mandi, Dehradun,IN",,
10,"selaqui, Dehradun,IN",,
11,"survey chowk, Dehradun,IN","Survey Chowk Fountain, Eastern Canal Road, Dehradun, Uttarakhand, 248001, India","(30.3247726, 78.0517468, 0.0)"
12,"jakhan, Dehradun,IN","Jakhan Rao, Rishikesh, Narendra Nagar, Tehri Garhwal, Uttarakhand, 248143, India","(30.2426694, 78.2506464, 0.0)"
13,"kulhal i, Dehradun,IN",,
14,"jogiwa rispana, Dehradun,IN",,
15,"shaspur, Dehradun,IN",,
16,"fountain chowk, Dehradun,IN","Lansdown Chowk Fountain, Subhash Road, Dehradun, Uttarakhand, 248001, India","(30.3237411, 78.0456184, 0.0)"
17,"nehru gram, Dehradun,IN",,
18,"asley hall, Dehradun,IN",,
19,"dobhal chowk, Dehradun,IN",,
20,"selaqui chowk, Dehradun,IN",,
21,"ballupur chowk, Dehradun,IN",,
22,"gujuraunwala, Dehradun,IN",,
23,"mata mandir, Dehradun,IN",,
24,"telpur, Dehradun,IN",,
25,"chowk, Dehradun,IN","Hanuman Chowk, Tilak road, Dehradun, Uttarakhand, 248001, India","(30.3185044, 78.0335555, 0.0)"
26,"majra, Dehradun,IN","Mājra, Dehradun, Uttarakhand, 248001, India","(30.2930012, 78.0026392, 0.0)"
27,"ongo chowk, Dehradun,IN",,
28,"raipur chowk, Dehradun,IN","Rāipur, Dehradun, Uttarakhand, 248008, India","(30.30991, 78.09494, 0.0)"
29,"mehuwala, Dehradun,IN","Government Hospital Mehuwala, Shimla Bypass Road, Telpura, Dehradun, Uttarakhand, 248146, India","(30.311503, 77.982168, 0.0)"
30,"krishna chowk, Dehradun,IN",,
31,"mathurawala, Dehradun,IN",,
32,"badowala telpur, Dehradun,IN",,
33,"darshanlal chowk, Dehradun,IN",,
34,"baliwala chowk, Dehradun,IN",,
35,"jogiwala rispana, Dehradun,IN",,
36,"langa road, Dehradun,IN",,
37,"kargi chowk, Dehradun,IN",,
38,"gms road, Dehradun,IN","General Mahadev Singh (GMS) Road, Dehradun, Uttarakhand, 248001, India","(30.3121168, 78.0092082, 0.0)"
39,"binda pul, Dehradun,IN",,
40,"6 no. pulia, Dehradun,IN",,
41,"bahuwala raja road, Dehradun,IN",,
42,"ludwala, Dehradun,IN",,
43,"garhi cantt, Dehradun,IN","Garhi Cantt Police Station, Thana, Birpur Road, Dehradun, Uttarakhand, 248003, India","(30.35256915, 78.02439267698927, 0.0)"
44,"mokampur, Dehradun,IN",,
45,"nanni bakery, Dehradun,IN",,
46,"post office nehru gram, Dehradun,IN",,
47,"yamuna coloney, Dehradun,IN",,
48,"isbt, Dehradun,IN","ISBT Road, Dehradun, Uttarakhand, 248001, India","(30.2943707, 78.0544953, 0.0)"
49,"no. pulia, Dehradun,IN",,
50,"ladpur, Dehradun,IN",,
51,"bangali kothi, Dehradun,IN","Bangali Kothi Chock, Way To THDC Colony, Dehradun, Uttarakhand, 248001, India","(30.28428325, 78.039195586, 0.0)"
52,"race course, Dehradun,IN",,
53,"it park, Dehradun,IN","IT Park, Dehradun, Uttarakhand, 248001, India","(30.36162105, 78.0853448037893, 0.0)"
54,"prem nagar, Dehradun,IN",,
55,"dilaram bazar, Dehradun,IN",,
56,"badowala, Dehradun,IN",,
57,"miawala, Dehradun,IN",,
58,"rajender nagar, Dehradun,IN",,
59,"harawala, Dehradun,IN",,
60,"tehsil, Dehradun,IN",,
61,"naya gaon palio, Dehradun,IN",,
62,"vasan vihar, Dehradun,IN",,
63,"jogiwala, Dehradun,IN",,
64,"araghar, Dehradun,IN",,
65,"kishan nagar, Dehradun,IN",,
66,"doiwala lachiwala, Dehradun,IN","Doiwala, NH7, Lachiwala, Doiwāla, Dehradun, Uttarakhand, 248140, India","(30.1758609, 78.1221823, 0.0)"
67,"lachiwala, Dehradun,IN","Lachiwala, Dehradun, Uttarakhand, 248140, India","(30.1925703, 78.124962, 0.0)"
68,"saharanpur chowk, Dehradun,IN",,
69,"vikasnagar yatrik hotel, Dehradun,IN",,
70,"ring road, Dehradun,IN","Ring Road, Dehradun, Uttarakhand, 248001, India","(30.3040623, 78.0521349, 0.0)"
71,"kali mandir, Dehradun,IN","Kali Mandir, Cross Road, Dehradun, Uttarakhand, 248001, India","(30.3222875, 78.0441983, 0.0)"
72,"ongc chowk, Dehradun,IN","ONGC Helipad Road, Dehradun, Uttarakhand, 248001, India","(30.352145, 78.0158261, 0.0)"
73,"harbatpur chowk, Dehradun,IN",,
74,"matawala bagh, Dehradun,IN",,
75,"vasant vihar, Dehradun,IN",,
76,"kuanwala, Dehradun,IN",,
77,"vishnupuram, Dehradun,IN",,
78,"blood bank, Dehradun,IN","Max Super Speciality Hospital's Blood Bank, Dehradun-Mussoorie Road, Rājpur, Dehradun, Uttarakhand, 248001, India","(30.3734884, 78.0745259, 0.0)"
79,"mokampur jogiwala, Dehradun,IN",,
80,"fountain chowk rispana, Dehradun,IN",,
81,"bansiwala, Dehradun,IN","Bansīwāla, Vikasnagar, Dehradun, Uttarakhand, 248011, India","(30.345736, 77.8968789, 0.0)"
82,"shastdhara crossing, Dehradun,IN",,
83,"rajpur, Dehradun,IN","Rājpur, Dehradun, Uttarakhand, 248001, India","(30.3819398, 78.0887349, 0.0)"
84,"kargi, Dehradun,IN",,
85,"garhi cant, Dehradun,IN",,
86,"panditwari, Dehradun,IN",,
87,"raipur, Dehradun,IN","Rāipur, Dehradun, Uttarakhand, 248008, India","(30.30991, 78.09494, 0.0)"
88,"supply, Dehradun,IN","Supply Road, Rājpur, Dehradun, Uttarakhand, 248001, India","(30.3817126, 78.070177, 0.0)"
89,"ranjawala raipur, Dehradun,IN",,
90,"hathibadkala, Dehradun,IN",,
91,"nala paani chowk, Dehradun,IN",,
92,"balliwalachowk, Dehradun,IN",,
93,"premnagar, Dehradun,IN","Premnagar, Mohanpur, Dehradun, Uttarakhand, 248001, India","(30.335225, 77.964001, 0.0)"
94,"dwarka store, Dehradun,IN",,
95,"geu/gehu, Dehradun,IN",,
96,"clock tower, Dehradun,IN","Clock Tower, Gandhi Road, Dehradun, Uttarakhand, 248001, India","(30.3242728, 78.0418842, 0.0)"
97,"doiwala tachiwala, Dehradun,IN",,
98,"nanda ki chowki, Dehradun,IN","Nanda Ki Chowki to UPES, Kolhūpāni, Vikasnagar, Dehradun, Uttarakhand, 248007, India","(30.3440375, 77.9532766, 0.0)"
